Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Regression,,,2018-09-05 16:49:33,2018-09-05 16:49:38,"5,605s",FAILED
,,,,,,
Test Cases/Web/TC/TC_Home,,,2018-09-05 16:49:33,2018-09-05 16:49:35,"2,334s",FAILED
callTestCase,,,2018-09-05 16:49:33,2018-09-05 16:49:35,"2,033s",FAILED
,,,,,,
Test Cases/Web/TC/TC_Login,,,2018-09-05 16:49:35,2018-09-05 16:49:36,"1,219s",FAILED
callTestCase,,,2018-09-05 16:49:35,2018-09-05 16:49:36,"1,130s",FAILED
,,,,,,
Test Cases/Web/TC/TC_NewUser,,,2018-09-05 16:49:36,2018-09-05 16:49:38,"1,213s",FAILED
callTestCase,,,2018-09-05 16:49:37,2018-09-05 16:49:38,"1,100s",FAILED
