Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Regression,Chrome 68.0.3440.106,,2018-09-04 17:17:42,2018-09-04 17:17:59,"16,624s",FAILED
,,,,,,
Test Cases/Web/TC/TC_Home,Chrome 68.0.3440.106,,2018-09-04 17:17:43,2018-09-04 17:17:49,"6,438s",FAILED
callTestCase,Chrome 68.0.3440.106,,2018-09-04 17:17:43,2018-09-04 17:17:49,"6,011s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-04 17:17:49,2018-09-04 17:17:49,"0,191s",FAILED
,,,,,,
Test Cases/Web/TC/TC_Login,Chrome 68.0.3440.106,,2018-09-04 17:17:49,2018-09-04 17:17:54,"5,040s",FAILED
callTestCase,Chrome 68.0.3440.106,,2018-09-04 17:17:49,2018-09-04 17:17:54,"4,734s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-04 17:17:54,2018-09-04 17:17:54,"0,117s",FAILED
,,,,,,
Test Cases/Web/TC/TC_NewUser,Chrome 68.0.3440.106,,2018-09-04 17:17:54,2018-09-04 17:17:59,"4,813s",FAILED
callTestCase,Chrome 68.0.3440.106,,2018-09-04 17:17:54,2018-09-04 17:17:59,"4,476s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-04 17:17:59,2018-09-04 17:17:59,"0,218s",FAILED
